;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;quality teste
0;0.7;0.207317073;0.46875;0.333333333;0.384615385;0.655172414;0.134615385;0.620355412;0.471153846;0.28;0.303571429;0.5;0.5
1;0.7;0.207317073;0.46875;0.333333333;0.384615385;0.655172414;0.134615385;0.620355412;0.471153846;0.28;0.303571429;0.5;0.5
2;0.383333333;0.256097561;0.09375;0.338709677;0.320512821;0.655172414;0.509615385;0.604200323;0.394230769;0.32;0.214285714;0.5;0.5
3;0.4;0.231707317;0.375;0.048387097;0.371794872;0.103448276;0.471153846;0.531502423;0.509615385;0.346666667;0.196428571;0.5;0.5
4;0.7;0.134146341;0.515625;0.043010753;0.307692308;0.586206897;0.442307692;0.515347334;0.432692308;0.293333333;0.464285714;0.5;0.5
5;0.783333333;0.146341463;0.46875;0.188172043;0.192307692;0.206896552;0.25;0.588045234;0.355769231;0.4;0.232142857;0.333333333;0.333333
6;0.45;0.073170732;0.4375;0.043010753;0.153846154;0.586206897;0.278846154;0.321486268;0.461538462;0.426666667;0.535714286;0.666666667;0.666667
7;0.583333333;0.280487805;0.5;0.021505376;0.166666667;0.206896552;0.846153846;0.345718901;0.336538462;0.4;0.517857143;0.5;0.5
8;0.433333333;0.243902439;0.0625;0.365591398;0.307692308;0.793103448;0.480769231;0.65266559;0.432692308;0.36;0.196428571;0.333333333;0.333333
9;0.416666667;0.243902439;0.4375;0.11827957;0.230769231;0.275862069;0.182692308;0.305331179;0.384615385;0.16;0.464285714;0.666666667;0.666667
10;0.616666667;0.682926829;0.0625;0.043010753;0.692307692;0.482758621;0.817307692;0.50726979;0.269230769;0.373333333;0.160714286;0.333333333;0.333333
11;0.45;0.195121951;0.484375;0.032258065;0.41025641;0.172413793;0.567307692;0.620355412;0.625;0.32;0.285714286;0.5;0.5
12;0.5;0.158536585;0.390625;0.016129032;0.41025641;0.827586207;0.605769231;0.450726979;0.653846154;0.28;0.285714286;0.5;0.5
13;0.516666667;0.207317073;0.453125;0.430107527;0.397435897;0.724137931;0.557692308;0.701130856;0.586538462;0.4;0.375;0.5;0.5
14;0.583333333;0.195121951;0.59375;0.021505376;0.346153846;0.206896552;0.471153846;0.321486268;0.403846154;0.346666667;0.571428571;0.5;0.5
15;0.55;0.256097561;0.40625;0.069892473;0.166666667;0.896551724;0.298076923;0.256865913;0.317307692;0.64;0.696428571;0.666666667;0.666667
16;0.766666667;0.158536585;0.453125;0.521505376;0.307692308;0.310344828;0.567307692;0.806138934;0.413461538;0.4;0.285714286;0.5;0.5
17;0.566666667;0.207317073;0.515625;0.053763441;0.769230769;0.344827586;0.384615385;0.248788368;0.403846154;0.253333333;0.785714286;0.333333333;0.333333
18;0.433333333;0.341463415;0.203125;0.252688172;0.397435897;0.482758621;0.634615385;0.483037157;0.451923077;0.16;0.285714286;0.333333333;0.333333
19;0.516666667;0.268292683;0.34375;0.02688172;0.423076923;0.931034483;0.528846154;0.256865913;0.346153846;0.066666667;0.5;0.5;0.5
20;0.516666667;0.243902439;0.25;0.360215054;0.628205128;0.586206897;0.740384615;0.644588045;0.346153846;0.306666667;0.25;0.5;0.5
21;0.45;0.158536585;0.265625;0.037634409;0.474358974;0.75862069;0.663461538;0.483037157;0.432692308;0.44;0.196428571;0.5;0.5
22;0.466666667;0.146341463;0.25;0.037634409;0.512820513;0.75862069;0.682692308;0.483037157;0.451923077;0.44;0.196428571;0.5;0.5
23;0.583333333;0.085365854;0.328125;0.037634409;0.487179487;0.931034483;0.807692308;0.458804523;0.375;0.4;0.285714286;0.666666667;0.666667
24;0.516666667;0.243902439;0.25;0.360215054;0.628205128;0.586206897;0.740384615;0.644588045;0.346153846;0.306666667;0.25;0.5;0.5
25;0.5;0.097560976;0.390625;0.231182796;0.602564103;0.724137931;0.644230769;0.612277868;0.567307692;0.333333333;0.25;0.333333333;0.333333
26;0.55;0.097560976;0.328125;0.048387097;0.538461538;0.689655172;0.865384615;0.345718901;0.557692308;0.28;0.589285714;0.5;0.5
27;0.45;0.170731707;0.296875;0.021505376;0.615384615;0.965517241;0.394230769;0.321486268;0.548076923;0.466666667;0.464285714;0.666666667;0.666667
28;0.416666667;0.085365854;0.390625;0.016129032;0.320512821;0.965517241;0.240384615;0.297253635;0.519230769;0.16;0.446428571;0.5;0.5
29;0.483333333;0.134146341;0.21875;0.225806452;0.923076923;0.655172414;0.384615385;0.620355412;0.25;0.306666667;0.035714286;0.5;0.5
30;0.55;0.158536585;0.265625;0.037634409;0.230769231;0.689655172;0.375;0.426494346;0.365384615;0.306666667;0.339285714;0.5;0.5
31;0.416666667;0.182926829;0.21875;0.306451613;0.256410256;0.551724138;0.394230769;0.232633279;0.432692308;0.346666667;0.75;0.666666667;0.666667
32;0.466666667;0.146341463;0.328125;0.075268817;0.333333333;0.655172414;0.125;0.418416801;0.538461538;0.546666667;0.410714286;0.833333333;0.833333
33;0.583333333;0.158536585;0.296875;0.505376344;0.384615385;0.344827586;0.211538462;0.709208401;0.346153846;0.16;0.196428571;0.333333333;0.333333
34;0.466666667;0.146341463;0.328125;0.075268817;0.333333333;0.655172414;0.125;0.418416801;0.538461538;0.546666667;0.410714286;0.833333333;0.833333
35;0.583333333;0.158536585;0.296875;0.505376344;0.384615385;0.344827586;0.211538462;0.709208401;0.346153846;0.16;0.196428571;0.333333333;0.333333
36;0.533333333;0.085365854;0.40625;0.037634409;0.294871795;0.689655172;0.038461538;0.192245557;0.471153846;0.186666667;0.767857143;0.666666667;0.666667
37;0.583333333;0.085365854;0.3125;0.435483871;0.564102564;0.517241379;0.192307692;0.701130856;0.163461538;0.44;0.160714286;0.333333333;0.333333
38;0.466666667;0.524390244;0.28125;0.252688172;0.512820513;0.344827586;0.211538462;0.604200323;0.480769231;0.186666667;0.107142857;0.333333333;0.333333
39;0.483333333;0.134146341;0.328125;0.037634409;0.423076923;0.793103448;0.298076923;0.442649435;0.596153846;0.72;0.392857143;0.5;0.5
40;0.35;0.280487805;0.875;0.817204301;0.333333333;0.517241379;0.778846154;0.846526656;0.355769231;0.36;0.071428571;0.5;0.5
41;0.35;0.280487805;0.875;0.817204301;0.333333333;0.517241379;0.778846154;0.846526656;0.355769231;0.36;0.071428571;0.5;0.5
42;0.566666667;0.024390244;0.34375;0.73655914;0.397435897;0.793103448;0.25;0.806138934;0.413461538;0.16;0.142857143;0.5;0.5
43;0.5;0.268292683;0.28125;0.032258065;0.397435897;0.896551724;1;0.426494346;0.480769231;0.493333333;0.339285714;0.333333333;0.333333
44;0.466666667;0.365853659;0.375;0.456989247;0.371794872;0.620689655;0.644230769;0.757673667;0.432692308;0.373333333;0.125;0.333333333;0.333333
45;0.466666667;0.365853659;0.375;0.456989247;0.371794872;0.620689655;0.644230769;0.757673667;0.432692308;0.373333333;0.125;0.333333333;0.333333
46;0.35;0.243902439;0.21875;0.139784946;0.269230769;0.482758621;0.576923077;0.321486268;0.519230769;0.28;0.517857143;0.5;0.5
47;0.516666667;0.036585366;0.46875;0.053763441;0.192307692;0.172413793;0.019230769;0.297253635;0.403846154;0.253333333;0.607142857;0.5;0.5
48;0.5;0.097560976;0.28125;0.231182796;0.487179487;0.103448276;0.605769231;0.628432956;0.5;0.173333333;0.125;0.5;0.5
49;0.416666667;0.024390244;0.578125;0.048387097;0.923076923;1;0.721153846;0.43457189;0.423076923;0.173333333;0.25;0.5;0.5
50;0.583333333;0.341463415;0.203125;0.338709677;0.166666667;0.620689655;0.413461538;0.531502423;0.355769231;0.253333333;0.375;0.333333333;0.333333
51;0.716666667;0.146341463;0.46875;0.02688172;0.08974359;0.862068966;0.365384615;0.369951535;0.336538462;0.2;0.410714286;0.5;0.5
52;0.483333333;0.097560976;0.40625;0.064516129;0.192307692;0.655172414;0.125;0.345718901;0.365384615;0.413333333;0.428571429;0.666666667;0.666667
53;0.666666667;0.12195122;0.46875;0.02688172;0.243589744;0.931034483;0.230769231;0.369951535;0.423076923;0.413333333;0.428571429;0.5;0.5
54;0.766666667;0.12195122;0.484375;0.193548387;0.205128205;0.448275862;0.153846154;0.588045234;0.394230769;0.4;0.232142857;0.5;0.5
55;0.7;0.109756098;0.46875;0.069892473;0.217948718;0.275862069;0.038461538;0.378029079;0.336538462;0.413333333;0.5;0.5;0.5
56;0.4;0.176829268;0.421875;0.021505376;0.256410256;0.896551724;0.298076923;0.248788368;0.221153846;0.213333333;0.446428571;0.5;0.5
57;0.416666667;0.591463415;0.0625;0.241935484;0.487179487;0.137931034;0.134615385;0.620355412;0.586538462;0.173333333;0.107142857;0.166666667;0.166667
58;0.5;0.170731707;0.3125;0.182795699;0.435897436;0.413793103;0.317307692;0.531502423;0.211538462;0.2;0.178571429;0.5;0.5
59;0.5;0.170731707;0.3125;0.182795699;0.435897436;0.413793103;0.317307692;0.531502423;0.211538462;0.2;0.178571429;0.5;0.5
60;0.366666667;0.256097561;0.21875;0.043010753;0.205128205;0.931034483;0.394230769;0.192245557;0.5;0.253333333;0.714285714;0.666666667;0.666667
61;0.366666667;0.256097561;0.21875;0.043010753;0.205128205;0.931034483;0.394230769;0.192245557;0.5;0.253333333;0.714285714;0.666666667;0.666667
62;0.416666667;0.134146341;0.71875;0.741935484;0.448717949;0.551724138;0.730769231;0.8546042;0.201923077;0.226666667;0.125;0.333333333;0.333333
63;0.4;0.304878049;0.3125;0.220430108;0.371794872;0.103448276;0.019230769;0.466882068;0.490384615;0.213333333;0.392857143;0.333333333;0.333333
64;0.466666667;0.426829268;0.125;0.091397849;0.179487179;0.482758621;0.144230769;0.176090468;0.298076923;0.28;0.75;0.666666667;0.666667
65;0.533333333;0.231707317;0.5625;0.043010753;0.58974359;0.620689655;0.480769231;0.256865913;0.336538462;0.413333333;0.767857143;0.5;0.5
66;0.666666667;0.097560976;0.546875;0.043010753;0.320512821;0.206896552;0.125;0.345718901;0.346153846;0.213333333;0.464285714;0.5;0.5
67;0.6;0.195121951;0.328125;0.913978495;0.397435897;0.75862069;0.865384615;0.935379645;0.307692308;0.546666667;0.321428571;0.333333333;0.333333
68;0.483333333;0.512195122;0.390625;0.166666667;0.179487179;0.517241379;0.25;0.256865913;0.471153846;0.453333333;0.767857143;0.833333333;0.833333
69;0.483333333;0.207317073;0.40625;0.392473118;0.320512821;0.586206897;0.384615385;0.43457189;0.240384615;0.186666667;0.535714286;0.5;0.5
70;0.45;0.048780488;0.375;0.23655914;0.448717949;0.793103448;0.403846154;0.547657512;0.567307692;0.253333333;0.214285714;0.333333333;0.333333
71;0.483333333;0.182926829;0.375;0.709677419;0.179487179;0.965517241;0.490384615;0.604200323;0.538461538;0.4;0.642857143;0.5;0.5
72;0.316666667;0.207317073;0.390625;0.086021505;0.423076923;0.862068966;0.298076923;0.402261712;0.490384615;0.36;0.321428571;0.166666667;0.166667
73;0.516666667;0.06097561;0.34375;0.408602151;0.320512821;0.931034483;0.413461538;0.676898223;0.423076923;0.146666667;0.142857143;0.333333333;0.333333
74;0.366666667;0.353658537;0.328125;0.010752688;0.358974359;0.413793103;0.836538462;0.450726979;0.432692308;0.72;0.196428571;0.5;0.5
75;0.483333333;0.085365854;0.4375;0.037634409;0.230769231;0.827586207;0.269230769;0.353796446;0.528846154;0.48;0.5;0.666666667;0.666667
76;0.516666667;0.06097561;0.34375;0.408602151;0.320512821;0.931034483;0.413461538;0.676898223;0.423076923;0.146666667;0.142857143;0.333333333;0.333333
77;0.466666667;0.024390244;0.296875;0.247311828;0.397435897;0.689655172;0.375;0.563812601;0.644230769;0.186666667;0.232142857;0.5;0.5
78;0.383333333;0.170731707;0.234375;0.037634409;0.128205128;0.827586207;0.211538462;0.305331179;0.509615385;0.28;0.482142857;0.666666667;0.666667
79;0.383333333;0.170731707;0.234375;0.037634409;0.128205128;0.827586207;0.211538462;0.305331179;0.509615385;0.28;0.482142857;0.666666667;0.666667
80;0.433333333;0.097560976;0.3125;0.005376344;0.294871795;0.75862069;0.586538462;0.499192246;0.625;0.213333333;0.125;0.5;0.5
81;0.4;0.469512195;0.1875;0.059139785;0.333333333;0.689655172;0.548076923;0.442649435;0.596153846;0.413333333;0.357142857;0.5;0.5
82;0.533333333;0.158536585;0.484375;0.919354839;0.333333333;0.965517241;0.596153846;1;0.528846154;0.213333333;0.053571429;0.333333333;0.333333
83;0.533333333;0.158536585;0.484375;0.919354839;0.333333333;0.965517241;0.596153846;1;0.528846154;0.213333333;0.053571429;0.333333333;0.333333
84;0.516666667;0.182926829;0.765625;0.037634409;0.217948718;1;0.355769231;0.353796446;0.548076923;0.24;0.482142857;0.666666667;0.666667
85;0.633333333;0.243902439;0.25;0.38172043;0.141025641;0.413793103;0.067307692;0.563812601;0.346153846;0.36;0.357142857;0.333333333;0.333333
86;0.533333333;0.12195122;0.421875;0.091397849;0.076923077;0.413793103;0.163461538;0.232633279;0.365384615;0.2;0.535714286;0.666666667;0.666667
87;0.5;0.353658537;0.71875;0.564516129;0.294871795;1;0.567307692;0.814216478;0.355769231;0.306666667;0.053571429;0.333333333;0.333333
88;0.483333333;0.12195122;0.265625;0.075268817;0.128205128;0.517241379;0.538461538;0.208400646;0.375;0.506666667;0.75;0.666666667;0.666667
89;0.366666667;0.365853659;0.0625;0.521505376;0.217948718;0.24137931;0.346153846;0.693053312;0.586538462;0.293333333;0.285714286;0.333333333;0.333333
90;0.5;0.353658537;0.71875;0.564516129;0.294871795;1;0.567307692;0.814216478;0.355769231;0.306666667;0.053571429;0.333333333;0.333333
91;0.316666667;0.158536585;0.453125;0.043010753;0.435897436;0.896551724;0.721153846;0.466882068;0.423076923;0.386666667;0.160714286;0.5;0.5
92;0.416666667;0.146341463;0.453125;0.059139785;0.153846154;0.413793103;0.336538462;0.305331179;0.528846154;0.36;0.607142857;0.5;0.5
93;0.5;0.207317073;0.46875;0.403225806;0.205128205;0.137931034;0.115384615;0.563812601;0.384615385;0.133333333;0.321428571;0.333333333;0.333333
94;0.383333333;0.158536585;0.390625;0.02688172;0.230769231;0.379310345;0.807692308;0.305331179;0.317307692;0.333333333;0.392857143;0.5;0.5
95;0.5;0.256097561;0.25;0.408602151;0.423076923;0.724137931;0.932692308;0.733441034;0.461538462;0.373333333;0.142857143;0.5;0.5
96;0.5;0.256097561;0.25;0.408602151;0.423076923;0.724137931;0.932692308;0.733441034;0.461538462;0.373333333;0.142857143;0.5;0.5
97;0.45;0.573170732;0.3125;0.23655914;0.474358974;0.655172414;0.384615385;0.604200323;0.451923077;0.2;0.107142857;0.333333333;0.333333
98;0.516666667;0.231707317;0.609375;0.215053763;0.205128205;0.206896552;0.211538462;0.337641357;0.471153846;0.6;0.714285714;0.666666667;0.666667
99;0.516666667;0.158536585;0.40625;0.112903226;0.179487179;0.379310345;0.278846154;0.208400646;0.403846154;0.2;0.75;0.833333333;0.833333
100;0.366666667;0.243902439;0.75;0.231182796;0.243589744;0.862068966;0.298076923;0.281098546;0.509615385;0.493333333;0.696428571;0.833333333;0.833333
101;0.383333333;0.207317073;0.1875;0.35483871;0.269230769;0.517241379;0.711538462;0.668820679;0.644230769;0.546666667;0.25;0.666666667;0.666667
102;0.866666667;0.585365854;0.4375;0.048387097;0.58974359;0.793103448;0.951923077;0.757673667;0.442307692;0.2;0.017857143;0;0
103;0.4;0.268292683;0.265625;0.02688172;0.333333333;0.793103448;0.884615385;0.483037157;0.576923077;0.413333333;0.178571429;0.5;0.5
